OTU	MQ210406-101	MQ210406-102	MQ210406-103	MQ210406-104	MQ210406-105	MQ210406-106	MQ210406-107	MQ210406-113	MQ210406-116	MQ210406-119	MQ210406-12	MQ210406-137	MQ210406-13	MQ210406-140	MQ210406-159	MQ210406-160	MQ210406-19	MQ210406-1	MQ210406-20	MQ210406-21	MQ210406-22	MQ210406-23	MQ210406-24	MQ210406-31	MQ210406-32	MQ210406-33	MQ210406-34	MQ210406-35	MQ210406-36	MQ210406-37	MQ210406-38	MQ210406-39	MQ210406-40	MQ210406-41	MQ210406-48	MQ210406-49	MQ210406-50	MQ210406-51	MQ210406-52	MQ210406-53	MQ210406-54	MQ210406-55	MQ210406-56	MQ210406-57	MQ210406-58	MQ210406-59	MQ210406-60	MQ210406-61	MQ210406-62	MQ210406-63	MQ210406-66	MQ210406-67	MQ210406-68	MQ210406-69	MQ210406-75	MQ210406-78	MQ210406-81	MQ210406-82	MQ210406-83	MQ210406-84	MQ210406-86	MQ210406-87	MQ210406-89	MQ210406-90	MQ210406-91	MQ210406-92	MQ210406-93	MQ210406-94	MQ210406-9	Kingdom	Phylum	Class	Order	Family	Genus	Species
Zotu11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	d__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__	s__
Zotu12	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu13	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	2	3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
Zotu14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	d__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__	s__
Zotu17	41	12	14	20	13	4	7	0	0	0	6	0	8	0	0	0	0	22	5	27	0	29	15	9	4	11	12	7	16	8	31	6	2	2	3	26	4	11	9	118	4	10	18	16	11	32	19	18	8	39	19	26	18	10	0	0	22	9	12	13	38	29	16	23	18	0	0	0	9	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
Zotu18	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	2	0	3	1	1	2	1	2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
Zotu19	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
Zotu20	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
